"Group.1","x"
"11/26/2016",1.7725
"11/26/2017",3.3325
"11/26/2018",-1.1825
"11/26/2019",0.2425
"11/26/2020",0.94
"11/27/2011",1.1575
"11/27/2012",-1.81
"11/27/2013",2.96
"11/27/2014",2.4175
"11/27/2015",2.1975
"11/27/2016",6.11
"11/27/2017",5.1
"11/27/2018",5.3875
"11/27/2019",0.5625
"11/27/2020",0.225
"11/28/2011",-0.2775
"11/28/2012",2.52
"11/28/2013",6.06
"11/28/2014",6.0775
"11/28/2015",4.405
"11/28/2016",0.2775
"11/28/2017",0.91
"11/28/2018",6.4125
"11/28/2019",5.8875
"11/28/2020",2.9475
"11/29/2011",-1.89
"11/29/2012",5.095
"11/29/2013",1.0625
"11/29/2014",-0.7875
"11/29/2015",-1.82
"11/29/2016",-1.695
"11/29/2017",3.435
"11/29/2018",5.8175
"11/29/2019",2.69
"11/29/2020",1.3375
"11/3/2011",0.2775
"11/3/2012",6.155
"11/3/2013",2.7525
"11/3/2014",6.4625
"11/3/2015",-0.1925
"11/3/2016",3.4175
"11/3/2017",1.0825
"11/3/2018",3.18
"11/3/2019",3.975
"11/3/2020",6.67
"11/30/2011",2.35
"11/30/2012",0.4675
"11/30/2013",-4.195
"11/30/2014",2.2575
"11/30/2015",-3.015
"11/30/2016",0.37
"11/30/2017",-3.1175
"11/30/2018",-1.5025
"11/30/2019",-0.4525
"11/30/2020",-2.78
"11/4/2011",-2.31
"11/4/2012",3.7725
"11/4/2013",-2.64
"11/4/2014",3.555
"11/4/2015",-0.125
"11/4/2016",1.3
"11/4/2017",-2.0975
"11/4/2018",-0.42
"11/4/2019",-1.3425
"11/4/2020",0.4575
"11/5/2011",-3.8475
"11/5/2012",1.89
"11/5/2013",-3.64
"11/5/2014",2.9475
"11/5/2015",-0.0375
"11/5/2016",2.5275
"11/5/2017",-2.815
"11/5/2018",-5.11
"11/5/2019",1.775
"11/5/2020",1.935
"11/6/2011",-1.6725
"11/6/2012",-2.8225
"11/6/2013",-1.5825
"11/6/2014",-1.875
"11/6/2015",1.5475
"11/6/2016",5.5875
"11/6/2017",2.2025
"11/6/2018",-0.1775
"11/6/2019",1.705
"11/6/2020",2.2
"11/7/2011",1.21
"11/7/2012",-1.45
"11/7/2013",1.835
"11/7/2014",3.395
"11/7/2015",3.07
"11/7/2016",-2.6625
